task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
F,135884995,67843044,0,67941838,50
B,136334995,68136154,0,68098728,50
F,136384995,68093034,0,68191848,50
F,136882995,68343024,0,68439858,50
F,137381995,68593014,0,68688868,50
B,137431995,68683132,0,68648750,50
F,137880995,68842004,0,68938878,50
F,138380995,69091994,0,69188888,50
B,138530995,69233110,0,69197772,50
F,138880995,69341984,0,69438898,50
F,139380995,69591974,0,69688908,50
B,139630995,69783088,0,69747794,50
F,139880995,69841964,0,69938918,50
F,140378995,70090954,0,70188928,50
B,140728995,70333066,0,70295816,50
F,140878995,70339944,0,70438938,50
F,141374995,70589934,0,70685948,49
B,141823995,70878044,0,70845838,50
F,141873995,70839924,0,70933958,50
F,142373995,71089914,0,71183968,50
F,142873995,71339904,0,71433978,50
B,142923995,71428022,0,71395860,50
F,143373995,71589894,0,71683988,50
F,143873995,71839884,0,71933998,50
B,144023995,71978000,0,71945882,50
F,144373995,72089874,0,72184008,50
F,144871995,72337864,0,72434018,50
B,145120995,72527978,0,72493904,50
F,145369995,72587854,0,72682028,50
F,145868995,72837844,0,72931038,50
B,146218995,73074956,0,73043926,50
F,146368995,73087834,0,73181048,50
F,146868995,73337824,0,73431058,50
B,147318995,73624934,0,73593948,50
F,147368995,73587814,0,73681068,50
F,147866995,73837804,0,73929078,50
F,148366995,74087794,0,74179088,50
B,148416995,74172912,0,74143970,50
F,148866995,74337784,0,74429098,50
F,149364995,74587774,0,74677108,50
B,149514995,74720890,0,74693992,50
F,149864995,74837764,0,74927118,50
F,150363995,75087754,0,75176128,50
B,150613995,75269868,0,75244014,50
F,150863995,75337744,0,75426138,50
F,151363995,75587734,0,75676148,50
B,151713995,75819846,0,75794036,50
F,151863995,75837724,0,75926158,50
F,152363995,76087714,0,76176168,50
B,152813995,76369824,0,76344058,50
F,152863995,76337704,0,76426178,50
F,153363995,76587694,0,76676188,50
F,153861995,76836684,0,76926198,50
B,153911995,76919802,0,76892080,50
F,154361995,77085674,0,77176208,50
F,154861995,77335664,0,77426218,50
B,155011995,77469780,0,77442102,50
F,155361995,77585654,0,77676228,50
F,155861995,77835644,0,77926238,50
B,156111995,78019758,0,77992124,50
F,156361995,78085634,0,78176248,50
F,156861995,78335624,0,78426258,50
B,157208995,78569736,0,78540146,49
F,157358995,78582614,0,78676268,50
F,157858995,78832604,0,78926278,50
B,158308995,79119714,0,79089168,50
F,158358995,79082594,0,79176288,50
F,158858995,79332584,0,79426298,50
F,159358995,79582574,0,79676308,50
B,159408995,79669692,0,79639190,50
F,159858995,79832564,0,79926318,50
F,160358995,80082554,0,80176328,50
B,160508995,80219670,0,80189212,50
F,160858995,80332544,0,80426338,50
F,161357995,80582534,0,80676348,50
B,161606995,80769648,0,80737234,50
F,161856995,80830524,0,80926358,50
F,162356995,81080514,0,81176368,50
B,162706995,81319626,0,81287256,50
F,162856995,81330504,0,81426378,50
F,163356995,81580494,0,81676388,50
B,163806995,81869604,0,81837278,50
F,163855995,81830484,0,81926398,49
F,164354995,82080474,0,82174408,50
F,164854995,82330464,0,82424418,50
B,164904995,82417582,0,82387300,50
F,165354995,82580454,0,82674428,50
F,165852995,82830444,0,82923438,49
B,166002995,82965560,0,82937322,50
F,166352995,83080434,0,83172448,50
F,166852995,83330424,0,83422458,50
B,167102995,83515538,0,83487344,50
F,167352995,83580414,0,83672468,50
F,167852995,83830404,0,83922478,50
B,168202995,84065516,0,84037366,50
F,168351995,84080394,0,84172488,50
F,168848995,84328384,0,84420498,50
B,169298995,84613494,0,84585388,50
F,169348995,84578374,0,84670508,50
F,169848995,84828364,0,84920518,50
F,170348995,85078354,0,85170528,50
B,170398995,85163472,0,85135410,50
F,170848995,85328344,0,85420538,50
F,171348995,85578334,0,85670548,50
B,171498995,85713450,0,85685432,50
F,171848995,85828324,0,85920558,50
F,172348995,86078314,0,86170568,50
B,172598995,86263428,0,86235454,50
F,172846995,86328304,0,86418578,50
F,173345995,86578294,0,86668588,49
B,173693995,86810406,0,86784476,49
F,173843995,86826284,0,86917598,50
F,174343995,87076274,0,87167608,50
B,174792995,87360384,0,87332498,50
F,174842995,87325264,0,87417618,50
F,175341995,87575254,0,87667628,50
F,175841995,87824244,0,87917638,50
B,175891995,87910362,0,87881520,50
F,176341995,88074234,0,88167648,50
F,176841995,88324224,0,88417658,50
B,176991995,88460340,0,88431542,50
F,177341995,88574214,0,88667668,50
F,177841995,88824204,0,88917678,50
B,178089995,89010318,0,88979564,50
F,178339995,89072194,0,89167688,50
F,178838995,89322184,0,89417698,50
B,179188995,89560296,0,89528586,50
F,179338995,89571174,0,89667708,50
F,179838995,89821164,0,89917718,50
B,180288995,90110274,0,90078608,50
F,180338995,90071154,0,90167728,50
F,180838995,90321144,0,90417738,50
F,181338995,90571134,0,90667748,50
B,181388995,90660252,0,90628630,50
F,181838995,90821124,0,90917758,50
F,182338995,91071114,0,91167768,50
B,182488995,91210230,0,91178652,50
F,182836995,91321104,0,91415778,50
F,183335995,91571094,0,91664788,50
B,183585995,91757208,0,91728674,50
F,183835995,91821084,0,91914798,50
F,184334995,92071074,0,92163808,50
B,184682995,92306186,0,92276696,50
F,184832995,92319064,0,92413818,50
F,185332995,92569054,0,92663828,50
B,185782995,92856164,0,92826718,50
F,185832995,92819044,0,92913838,50
F,186330995,93069034,0,93161848,50
F,186829995,93319024,0,93410858,50
B,186879995,93403142,0,93376740,50
F,187328995,93569014,0,93660868,50
F,187826995,93818004,0,93908878,50
B,187976995,93951120,0,93925762,50
F,188326995,94067994,0,94158888,50
F,188825995,94316984,0,94408898,50
B,189075995,94501098,0,94474784,50
F,189325995,94566974,0,94658908,50
F,189825995,94816964,0,94908918,50
B,190173995,95051076,0,95022806,50
F,190323995,95064954,0,95158928,50
F,190823995,95314944,0,95408938,50
B,191273995,95601054,0,95572828,50
F,191323995,95564934,0,95658948,50
F,191823995,95814924,0,95908958,50
F,192323995,96064914,0,96158968,50
B,192373995,96151032,0,96122850,50
F,192823995,96314904,0,96408978,50
F,193322995,96563894,0,96658988,50
B,193472995,96701010,0,96671872,50
F,193822995,96813884,0,96908998,50
F,194322995,97063874,0,97159008,50
B,194572995,97250988,0,97221894,50
F,194822995,97313864,0,97409018,50
F,195322995,97563854,0,97659028,50
B,195672995,97800966,0,97771916,50
F,195822995,97813844,0,97909038,50
F,196322995,98063834,0,98159048,50
B,196770995,98350944,0,98319938,50
F,196820995,98311824,0,98409058,50
F,197320995,98561814,0,98659068,50
F,197818995,98811804,0,98907078,50
B,197868995,98898922,0,98869960,50
F,198316995,99059794,0,99157088,50
F,198816995,99309784,0,99407098,50
B,198966995,99448900,0,99417982,50
F,199316995,99559774,0,99657108,50
F,199816995,99809764,0,99907118,50
B,200065995,99998878,0,99968004,49
F,200315995,100058754,0,100157128,50
F,200815995,100308744,0,100407138,50
B,201163995,100548856,0,100516026,49
F,201312995,100556734,0,100657148,49
F,201811995,100806724,0,100905158,50
B,202261995,101096834,0,101065048,50
F,202311995,101056714,0,101155168,50
F,202811995,101306704,0,101405178,50
F,203311995,101556694,0,101655188,50
B,203361995,101646812,0,101615070,50
